msa_code,msa_title,state,min_long,min_lat,max_long,max_lat,center_long,center_lat,radius
C2798,"Kahului-Wailuku-Lahaina, HI MSA",Hawaii,-157.366549,20.45293,-155.926785,21.280347,-156.64666699999998,20.8666385,66601
C1426,"Boise City, ID MSA",Idaho,-117.032578,41.996115,-114.967343,44.510813,-115.9999605,43.253464,162857
C3854,"Pocatello, ID MSA",Idaho,-112.752341,42.256276,-111.875475,43.022589,-112.313908,42.6394325,49628
C1394,"Blackfoot, ID MicroSA",Idaho,-113.007788,42.862998,-111.588049,43.626627,-112.29791850000001,43.244812499999995,65675
C2520,"Hailey, ID MicroSA",Idaho,-115.086653,42.615851,-113.007318,43.993002,-114.0469855,43.3044265,96187
C4176,"Sandpoint, ID MicroSA",Idaho,-117.042137,47.890127,-116.048669,48.847448,-116.545403,48.368787499999996,61998
C2682,"Idaho Falls, ID MSA",Idaho,-113.798441,43.019407,-111.043925,44.234152,-112.421183,43.6267795,127420
C1542,"Burley, ID MicroSA",Idaho,-114.286654,41.988182,-112.999965,43.199859,-113.6433095,42.5940205,78470
C3430,"Mountain Home, ID MicroSA",Idaho,-116.267904,42.767657,-114.971351,44.098766,-115.6196275,43.4332115,86205
C3086,"Logan, UT-ID MSA",Idaho,-112.166108,41.368818,-111.401576,42.430635,-111.78384199999999,41.8997265,68765
C3994,"Rexburg, ID MicroSA",Idaho,-112.15637,43.621951,-111.047044,44.754954,-111.601707,44.1884525,73375
C4630,"Twin Falls, ID MicroSA",Idaho,-115.038174,41.994238,-113.931687,42.918428,-114.48493049999999,42.456333,59852
C1766,"Coeur d'Alene, ID MSA",Idaho,-117.042309,47.366031,-116.329406,47.991511,-116.6858575,47.678771,40507
C3414,"Moscow, ID MicroSA",Idaho,-117.039981,46.541709,-116.329415,47.130829,-116.684698,46.836269,38152
C3030,"Lewiston, ID-WA MSA",Idaho,-117.47999,45.855216,-116.360239,46.631245,-116.92011450000001,46.243230499999996,51798
C3662,"Ontario, OR-ID MicroSA",Idaho,-118.233908,41.997001,-116.452068,44.444661,-117.34298799999999,43.220831000000004,158515
C2722,"Jackson, WY-ID MicroSA",Idaho,-111.400954,43.23499,-110.051031,44.666805,-110.72599249999999,43.950897499999996,92727
C3950,"Quincy, IL-MO MicroSA",Illinois,-91.952726,39.756862,-90.911969,40.25721,-91.43234749999999,40.007036,48144
C1602,"Cape Girardeau, MO-IL MSA",Illinois,-90.22323,36.970298,-89.132915,37.606461,-89.6780725,37.288379500000005,50436
C4118,"St. Louis, MO-IL MSA",Illinois,-91.418637,38.003499,-89.138337,39.523316,-90.27848700000001,38.7634075,105483
C4042,"Rockford, IL MSA",Illinois,-89.401423,42.150266,-88.705389,42.500563,-89.053406,42.3254145,32197
C3686,"Ottawa-Peru, IL MicroSA",Illinois,-89.862351,40.925749,-88.58624,41.631389,-89.22429550000001,41.278569000000005,59031
C1658,"Champaign-Urbana, IL MSA",Illinois,-88.745967,39.79182,-87.92876,40.997777,-88.3373635,40.3947985,78100
C4538,"Taylorville, IL MicroSA",Illinois,-89.535076,39.345825,-89.023987,39.826085,-89.2795315,39.585955,31102
C1666,"Charleston-Mattoon, IL MicroSA",Illinois,-88.472073,39.171042,-87.960179,39.685973,-88.216126,39.428507499999995,33348
C1698,"Chicago-Naperville-Elgin, IL-IN-WI MSA",Illinois,-88.942146,40.73651,-86.929353,42.669906,-87.9357495,41.703208000000004,125211
C1401,"Bloomington, IL MSA",Illinois,-89.269397,40.048853,-88.459207,40.757608,-88.86430200000001,40.4032305,45900
